ANIMALID	DATE	MEASURER	DORSAL	FLANK	VENTRUM	TAIL	RUMPSHAPE	RUMPSHADOW	ANKLESHADOW	EARBASE	EYEBROW	CHEEK	WHISKER	BETWEENEYES	ROSTRUM	NOTES	SPECDORSAL	SPECFLANK	SPECVENTRUM	pop	DORSAL_Brightness_MEAN	DORSAL_Hue_MEAN	DORSAL_Saturation_MEAN	FLANK_Brightness_MEAN	FLANK_Hue_MEAN	FLANK_Saturation_MEAN	VENTRUM_Brightness_MEAN	VENTRUM_Hue_MEAN	VENTRUM_Saturation_MEAN	DORSAL_Brightness_MEDIAN	DORSAL_Hue_MEDIAN	DORSAL_Saturation_MEDIAN	FLANK_Brightness_MEDIAN	FLANK_Hue_MEDIAN	FLANK_Saturation_MEDIAN	VENTRUM_Brightness_MEDIAN	VENTRUM_Hue_MEDIAN	VENTRUM_Saturation_MEDIAN	DORSAL_Brightness_SD	DORSAL_Hue_SD	DORSAL_Saturation_SD	FLANK_Brightness_SD	FLANK_Hue_SD	FLANK_Saturation_SD	VENTRUM_Brightness_SD	VENTRUM_Hue_SD	VENTRUM_Saturation_SD
VSD142	03.16.20	Brock_Sade	2	2	1	2	3	0	1	2	2	0	2	2	2		2-6	7-11	12-16	ALB	51.2002953650067	41.3683434583873	0.241222333385997	83.5029008762493	44.9168712477466	0.197935240462074	208.415103408077	65.1658855729973	0.032541445327314	49.4727918466928	41.5126089009495	0.24413899904792	84.0021180220406	45.0654119606734	0.202249838506998	205.481768060712	64.4059641005924	0.0316767647488954	4.32464499869669	0.468581948579563	0.0108306311471659	1.59183967344106	0.779586479982888	0.013547965834704	15.10660363657	2.233756076887	0.00365900426113365
VSD143	03.16.20	Brock_Sade	2	2	1	1	2	1	1	2	2	NA	1	2	2		1-5	6-10	11-15	ALB	43.6393094258947	41.3402655395786	0.14028087650176	68.5545886475838	44.5080086504425	0.115832784007994	170.160563087217	63.3641287558634	0.0402878781340305	44.4479425002182	41.3751956444479	0.140726300149787	65.2106949875401	44.3251097027313	0.112929128587798	172.081942965425	62.9789313437671	0.041275326683407	3.16173639161347	0.59383667210579	0.00708658933939093	13.9363891962246	0.593644967422088	0.00602310169955429	19.6851986393608	2.31388229830313	0.00250093838199511
VSD195	03.16.20	Brock_Sade	2	2	1	1	2	1	1	2	1	0	1	2	2		1-5	6-10	11-15	ALB	38.6608652159905	37.3228403327305	0.163023894534441	66.1918535401616	41.2726507982735	0.125567199811991	182.327555704627	60.9161922170108	0.0422802347455898	39.9012810878972	37.2542437279693	0.168417555981335	64.2761089853161	41.3665509782202	0.127535174224686	204.297667311434	61.3073915573269	0.0415487582704535	3.8644631557866	0.646947378826307	0.0112192608606099	7.74135554814658	0.486692397841542	0.00532974659575769	39.541212836271	1.70722209392085	0.00372102602749509
VSD196	03.16.20	Brock_Sade	2	2	1.5	2	3	1	1	NA	1	0	1	2	2		1-5	6-10	11-15	ALB	39.0513186507124	39.1998435941235	0.185895855811562	76.3158445950247	42.4211446573668	0.179476482979212	141.213081133135	60.452628157022	0.0451053666267927	41.7123713881576	39.2307196206923	0.18968039398621	77.3736398216801	42.3592658515913	0.180072089358036	142.263947845804	60.9014646940824	0.0425641373464019	4.37567332861984	1.43402874238415	0.0198372656255959	5.66836734373072	0.478295669836365	0.00960233089615869	19.016058596883	1.68495567909434	0.0044934288339198
VSD197	03.16.20	Brock_Sade	2	2	1	2	3	0.5	1	2	2	0.5	2	2	1		1-5	6-10	11-15	ALB	44.2592825374772	40.3576947209614	0.134029947523699	77.4009224435867	44.3265008867889	0.123887107283591	139.857150060464	56.6423140880305	0.0472786042544569	46.2411583928827	40.1529385863566	0.134823471314377	74.6819603537995	44.0088571156349	0.122543031635949	140.908833304488	56.1583192896634	0.0463238800645222	4.96172865222555	1.06815941933338	0.0201961064196465	6.45598679353255	0.757559666715379	0.00940910096415645	5.69124887073783	1.22893893575919	0.00437952890854833
VSD198	03.16.20	Brock_Sade	2	2	0.5	3	3	1	1	2	1	1	2	2	2		1-5	6-10	11-15	ALB	40.1746885768947	37.7269439958049	0.192507412228118	72.3165852300474	41.769384378979	0.174097667207804	165.184560322872	61.6317157999753	0.0610991173898948	40.9683211120795	37.6318945293402	0.194470505020328	77.1380274301391	42.1003937793682	0.171875895270634	153.3624621972	61.4782911843392	0.0608960701218988	2.90564346678691	1.09397369650516	0.00797533749335982	9.04516663361507	0.605999084763797	0.0109304761396981	21.4647602173311	1.64813681029985	0.00197164781827223
VSD199	03.16.20	Brock_Sade	2	2	0	2	2	1	1	2	1.5	0	1	2	1		1-5	6-10	11-15	ALB	42.7998115890761	37.7993464569477	0.208283552315916	79.4752172897971	42.3113956791891	0.161011946210805	175.414402636909	57.4183026744324	0.0809575338561749	42.1161566875072	37.9575234337935	0.211679975053809	79.5257335531348	42.4080658931682	0.161289422214191	174.967430700459	55.5425709386329	0.0792926436379849	4.67418848283887	0.481110974243118	0.0101407370083901	3.35468284671226	0.323950464636074	0.00969663362248206	3.12281747294476	3.45356152025418	0.00961214364726291
VSD200	03.16.20	Brock_Sade	2	2	0	2	3	1	1	2	1.5	0	1	2	1		1-5	6-10	11-15	ALB	44.0803585839984	36.1863820683501	0.279075770454861	81.2547456209787	40.1986172715365	0.237786047572639	170.387740325195	59.8600182394587	0.0550415397609783	44.1409330187872	36.4406700591976	0.275907909205905	80.0401943856727	40.335154893574	0.240997196802448	181.300532773317	60.5963756111951	0.0564111634112622	6.29995881561974	0.655717621834323	0.00994906860353727	3.96915347832739	0.63731218727107	0.0131852693109476	29.6732885664936	2.76372641040389	0.00478087206193784
VSD201	03.16.20	Brock_Sade	2	2	1	2.5	2.5	1	1	2	1	0	2	2	2		1-5	6-10	11-15	ALB	46.1695099944855	36.8511626404004	0.213610701373424	73.8521321487452	42.5234057746595	0.155272633990636	119.525233169753	58.6269076959779	0.043414224780693	45.8440204845204	36.8286656662133	0.214411587332412	73.3773392878433	42.354008780896	0.153813526320638	123.653767828361	57.9691959685759	0.0442178446960977	2.07988355391985	0.357308428928338	0.00487718883644573	4.14338652485411	0.495331991134083	0.00879293164317154	12.2329794429827	1.53371506704176	0.00495445244395784
VSD202	03.16.20	Brock_Sade	2	2	0.5	1	2	1	1	NA	1.5	1	1	2	1		1-5	6-10	11-15	ALB	43.1272109134391	40.5893683333333	0.225170199283685	67.0388843315471	43.2549153742714	0.180918656611989	134.663323852846	56.3441111508395	0.0535199335033945	44.6284264081388	40.188222786208	0.224916661197085	66.7455805455616	43.5603920139546	0.187862218452235	124.259630809066	56.6296757018059	0.0513769706833861	4.91424546854352	1.31575546387276	0.0117845607313384	7.66600007200257	0.508938176367208	0.0145430125663642	16.8382730028797	1.30616739494075	0.00540964552990437
